benchmark_id,benchmark_family,granularity,granularity_normalized,semantic_label_mode,rollback_split_condition,method_id,method_label,compiler,compiler_id,opt_level,profile_source,profile_condition,profile_scenario,eval_source,eval_group,status,error_message,avg_semantic_comparisons_per_visited_state,avg_semantic_comparisons_per_emitted_token,throughput_bytes_per_sec,bytes_per_second_aggregate,tokens_per_second_aggregate,classifier_ns_per_call,transition_ns_per_call,estimated_classification_share_of_full_scan,estimated_transition_share_of_full_scan,full_scan_ns_total,emitted_tokens_total,input_bytes_total
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,gcc,gcc_O2,-O2,A,same_A,same_A,A,A,completed,,0.0,0.0,152826035.64897537,152826035.64897537,91714072.41972812,0.45327667654884274,0.6013905799368648,0.11084381437492015,0.14706343665614227,1766839,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,gcc,gcc_O3,-O3,A,same_A,same_A,A,A,completed,,0.0,0.0,161718430.8905986,161718430.8905986,97050583.16354093,0.4857772664765028,0.5963282060218392,0.1257035224174511,0.15431054762512345,1669686,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,gcc,gcc_Os,-Os,A,same_A,same_A,A,A,completed,,0.0,0.0,146210306.01829666,146210306.01829666,87743835.90943179,0.45481487501028334,0.5853988404781966,0.10640533127127307,0.13695584944422337,1846785,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,clang,clang_O2,-O2,A,same_A,same_A,A,A,completed,,0.0,0.0,6136795454545.455,6136795454545.455,3682818181818.182,1.4512715992857401,1.46856707010015,14250.86041952264,14420.694474421385,44,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,clang,clang_O3,-O3,A,same_A,same_A,A,A,completed,,0.0,0.0,5094698113207.547,5094698113207.547,3057433962264.151,1.4424510590649058,1.490152281296759,11758.997113785703,12147.861977535074,53,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,clang,clang_Os,-Os,A,same_A,same_A,A,A,completed,,0.0,0.0,191095978.63272664,191095978.63272664,114680658.62610243,1.4347290601498615,1.4438201624766305,0.43870459663709555,0.4414844304677668,1413002,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B2,binary final/non-final threshold encoding,gcc,gcc_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,165394849.35427043,165394849.35427043,99256878.10399786,0.4723674976354015,0.598954067157054,0.12501229556543247,0.15851349478610677,1632572,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B2,binary final/non-final threshold encoding,gcc,gcc_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,166139978.46485156,166139978.46485156,99704045.53145671,0.4763869015054172,0.6138237534278344,0.1266440246431823,0.1631806212765935,1625250,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B2,binary final/non-final threshold encoding,gcc,gcc_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,147730256.96690637,147730256.96690637,88655989.98568758,0.44980794702617555,0.5894696546575761,0.10632792025757772,0.13934187434675377,1827784,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B2,binary final/non-final threshold encoding,clang,clang_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5192673076923.077,5192673076923.077,3116230769230.769,1.2765658324426976,1.4809258227191056,10606.813656365852,12304.813305573836,52,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B2,binary final/non-final threshold encoding,clang,clang_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5869978260869.565,5869978260869.565,3522695652173.913,1.2690016990217403,1.474052256837383,11919.263980022437,13845.228090030794,46,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B2,binary final/non-final threshold encoding,clang,clang_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,190438676.36095887,190438676.36095887,114286197.90546302,1.23982247576509,1.4686068497983267,0.37780299919918453,0.44751896609704694,1417879,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B3,contiguous multi-class interval encoding,gcc,gcc_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,164967821.31942976,164967821.31942976,99000609.72704023,0.4677479642545197,0.5888404486187421,0.12347012470920177,0.1554345698556953,1636798,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B3,contiguous multi-class interval encoding,gcc,gcc_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,169628570.97985017,169628570.97985017,101797622.22606128,0.47426080572763485,0.5959356728942741,0.1287262092148871,0.1617518023440849,1591825,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B3,contiguous multi-class interval encoding,gcc,gcc_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,151279877.7744598,151279877.7744598,90786191.02390783,0.4753550356861742,0.6086395338210403,0.11506679213064065,0.14733029727892002,1784897,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B3,contiguous multi-class interval encoding,clang,clang_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5745085106382.9795,5745085106382.9795,3447744680851.064,1.208683820381052,1.4740462410040105,11111.173193992716,13550.59346669008,47,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B3,contiguous multi-class interval encoding,clang,clang_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5869978260869.565,5869978260869.565,3522695652173.913,1.2475748045067214,1.4954756170502956,11718.009078477795,14046.449795181908,46,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B3,contiguous multi-class interval encoding,clang,clang_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,228702324.21439925,228702324.21439925,137249006.2736256,1.2317112774968078,1.4640063164245134,0.4507442942925407,0.5357525793525907,1180657,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B4,frequency-aware interval encoding,gcc,gcc_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,164802997.98283118,164802997.98283118,98901695.82558967,0.46890079845649757,0.5850846385143378,0.12365076910705204,0.15428885125204436,1638435,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B4,frequency-aware interval encoding,gcc,gcc_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,169540702.6025806,169540702.6025806,101744890.59115312,0.462203972746069,0.5929305385308864,0.1253886985016415,0.1608527682844274,1592650,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B4,frequency-aware interval encoding,gcc,gcc_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,152871200.3564479,152871200.3564479,91741176.69704814,0.46753738502050474,0.5908326419720383,0.11436490171885584,0.14452430799402421,1766317,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B4,frequency-aware interval encoding,clang,clang_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5400380000000.0,5400380000000.0,3240880000000.0,1.2052761265011447,1.5359782178705244,10415.056169844222,13272.725695827134,50,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B4,frequency-aware interval encoding,clang,clang_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5625395833333.333,5625395833333.333,3375916666666.6665,1.335560879456686,1.6039938816969321,12021.745190394484,14437.983344163711,48,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B4,frequency-aware interval encoding,clang,clang_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,209913436.2355063,209913436.2355063,125973405.06166746,1.3286675615887233,1.5711946056423203,0.44627988457717893,0.5277411502512382,1286335,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_TREE,hierarchical comparison-tree encoding,gcc,gcc_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,150007222.06173196,150007222.06173196,90022443.9456901,0.5355656570310228,0.6559849696408462,0.12855105072247322,0.15745512431278952,1800040,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_TREE,hierarchical comparison-tree encoding,gcc,gcc_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,169971220.23195034,169971220.23195034,102003253.14613475,0.4816243361715868,0.5993153179510814,0.13098891885177535,0.16299771347466108,1588616,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_TREE,hierarchical comparison-tree encoding,gcc,gcc_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,141485429.5981363,141485429.5981363,84908339.61239912,0.49080615225242075,0.6274309168014757,0.11111494041175292,0.14204579264734274,1908458,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_TREE,hierarchical comparison-tree encoding,clang,clang_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,4821767857142.857,4821767857142.857,2893642857142.8574,1.3483984673461316,1.6009538554999831,10403.399825000659,12351.959352878182,56,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_TREE,hierarchical comparison-tree encoding,clang,clang_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5192673076923.077,5192673076923.077,3116230769230.769,1.3393851447316765,1.589108554259383,11128.770865729095,13203.689058881988,52,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_TREE,hierarchical comparison-tree encoding,clang,clang_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,215005876.41376323,215005876.41376323,129029483.99035567,1.341217818236708,1.5824489013860028,0.4614242195558532,0.5444158580214941,1255868,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_DAG,hierarchical comparison-DAG encoding,gcc,gcc_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,147931866.2811943,147931866.2811943,88776979.91500543,0.5491737478456423,0.6259049505345594,0.12999368247614826,0.14815655285639748,1825293,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_DAG,hierarchical comparison-DAG encoding,gcc,gcc_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,168524886.87782806,168524886.87782806,101135278.51458886,0.5382405722741971,0.5927543748769574,0.14514136988445114,0.1598415028639183,1602250,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_DAG,hierarchical comparison-DAG encoding,gcc,gcc_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,141411998.95886195,141411998.95886195,84864272.3633886,0.5512739504739499,0.6223650837822607,0.12473963657354832,0.14082579868016762,1909449,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_DAG,hierarchical comparison-DAG encoding,clang,clang_O2,-O2,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,4909436363636.363,4909436363636.363,2946254545454.5454,1.3710303082197188,1.6125333070374572,10770.34047272218,12667.50460312565,55,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_DAG,hierarchical comparison-DAG encoding,clang,clang_O3,-O3,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,5192673076923.077,5192673076923.077,3116230769230.769,1.3929273150468375,1.5937398937132585,11573.645551277918,13242.170234954696,52,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B5_DAG,hierarchical comparison-DAG encoding,clang,clang_Os,-Os,A,same_A,same_A,A,A,completed,,1.0,2.6663190244624917,218367984.00688377,218367984.00688377,131047154.46102487,1.3896113375598909,1.5832477789919177,0.4855489903354414,0.5532081811380757,1236532,162044,270019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,gcc,gcc_O2,-O2,B,same_B,same_B,B,B,completed,,0.0,0.0,160943061.00728974,160943061.00728974,74302925.0540723,0.4917499938817746,0.6503117330075774,0.115681508765795,0.15298229461798793,1398128,103885,225019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,gcc,gcc_O3,-O3,B,same_B,same_B,B,B,completed,,0.0,0.0,179039221.39632437,179039221.39632437,82657417.88363275,0.47862106103747715,0.6359085006950655,0.1252527615202793,0.1664141055841266,1256814,103885,225019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,gcc,gcc_Os,-Os,B,same_B,same_B,B,B,completed,,0.0,0.0,152528678.05406108,152528678.05406108,70418238.9915791,0.4863394222616268,0.6281710938246327,0.10842721550258265,0.14004795713635612,1475257,103885,225019
BM1,Small C-like lexer,binary,binary,binary,off,B1,arbitrary numbering + generic lookup dispatch,clang,clang_O2,-O2,B,same_B,same_B,B,B,completed,,0.0,0.0,3947701754385.965,3947701754385.965,1822543859649.1228,1.547619894730341,1.6120983271942533,8930.092607308748,9302.146737032355,57,103885,225019
